delivery_id,customer_id,jumpman_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_Jumpman_arrived_at_pickup,when_the_Jumpman_left_pickup,when_the_Jumpman_arrived_at_dropoff,start - dropoff,as the bird flies distance,wasted time (leftpickup - started - howlong),Delivery Minutes
1273159,314908,124216,bicycle,Blue Ribbon Fried Chicken,American,Fries,1,Sides,,40.72434,-73.99096,40.7342506,-73.9902123,10/1/14 1:51 PM,10/1/14 2:34 PM,10/1/14 2:52 PM,10/1/14 3:12 PM,0.055914873,0.009938765,1:0,19
1273173,87709,43955,bicycle,Mile End Deli,Deli,Smoked Meat Poutin,1,Poutine,06:14.0,40.72588469,-73.99244785,40.7602727,-73.9955719,10/1/14 1:54 PM,10/1/14 2:14 PM,10/1/14 2:22 PM,10/1/14 2:45 PM,0.035608299,0.034529627,0:22,22
1273181,115971,41408,car,Just Salad,Salad,,,,,40.76189411,-73.9869976,40.7708506,-73.9917321,10/1/14 1:56 PM,10/1/14 2:36 PM,10/1/14 2:52 PM,10/1/14 2:59 PM,0.043251308,0.010130855,0:55,7
1273258,120353,30743,bicycle,Parm,Italian,House Roasted Turkey,1,Sandwiches,05:16.4,40.72301983,-73.995854,40.7062843,-74.016943,10/1/14 2:13 PM,10/1/14 2:18 PM,10/1/14 2:28 PM,10/1/14 2:47 PM,0.023897014,0.02692255,0:9,19
1273318,47184,113822,bicycle,Murray's Bagels,Bakery,,,,,40.73644,-73.99734223,40.72640379,-73.99591138,10/1/14 2:22 PM,10/1/14 2:27 PM,10/1/14 2:39 PM,10/1/14 3:02 PM,0.027502396,0.010137695,0:16,22
1273404,217056,122309,bicycle,Chipotle Mexican Grill $1.99 Delivery,Mexican,,,,,40.74194453,-74.001089,40.7414362,-73.9988009,10/1/14 2:38 PM,10/1/14 2:40 PM,10/1/14 2:51 PM,10/1/14 2:56 PM,0.012602824,0.002343887,0:12,5
1273597,116293,113822,bicycle,Hu Kitchen,Gluten-Free,Wild Line-Caught Tuna Salad,1,Prepared Food,,40.73567676,-73.99382953,40.7275977,-74.0051425,10/1/14 3:06 PM,10/1/14 3:17 PM,10/1/14 3:32 PM,10/1/14 3:44 PM,0.026491366,0.013901603,0:26,11
1273605,55478,30743,bicycle,Juice Generation,Juice Bar,Coco Acai Bowl,1,Acai Bowls,,40.732164,-74.001621,40.732552,-73.996537,10/1/14 3:06 PM,10/1/14 3:08 PM,10/1/14 3:17 PM,10/1/14 3:22 PM,0.010959444,0.005098784,0:10,5
1273643,256697,67430,bicycle,158,,,,,,40.72934341,-74.00092316,40.764819,-73.9749439,10/1/14 3:13 PM,10/1/14 3:21 PM,10/1/14 3:32 PM,10/1/14 4:19 PM,0.045267789,0.043970888,0:18,46
1273676,42461,84093,bicycle,Shorty's,,,,,,40.74345837,-73.98606474,40.735576,-74.007376,10/1/14 3:18 PM,10/1/14 3:21 PM,10/1/14 3:37 PM,10/1/14 3:55 PM,0.025793345,0.022722267,0:19,17
1273784,39275,132725,bicycle,Potbelly Sandwich Shop,,,,,03:17.7,40.75765339,-73.97064903,40.7715363,-73.9506762,10/1/14 3:35 PM,10/1/14 3:36 PM,10/1/14 3:46 PM,10/1/14 4:04 PM,0.020217951,0.024323835,0:8,17
1273835,58153,89004,bicycle,Whole Foods Market,Grocery Store,Ricotta Fresh Whole Milk,1,Cheese,,40.723955,-73.991829,40.72395,-73.996448,10/1/14 3:43 PM,10/1/14 3:50 PM,10/1/14 4:09 PM,10/1/14 4:13 PM,0.021303611,0.004619003,0:26,4
1273853,78742,23359,bicycle,Insomnia Cookies,Bakery,M&M's,1,Cookies and Brownies,,40.7297909,-74.0005893,40.7202592,-74.0008423,10/1/14 3:46 PM,10/1/14 4:15 PM,10/1/14 4:22 PM,10/1/14 4:30 PM,0.030157176,0.009535057,0:35,7
1273869,180776,43955,bicycle,Empanada Mama (closed),Mexican,Spicy Chicken,2,Wheat Flour,03:40.1,40.764217,-73.988321,40.80247289,-73.96184809,10/1/14 3:49 PM,10/1/14 4:04 PM,10/1/14 4:09 PM,10/1/14 4:36 PM,0.03295963,0.046522339,0:16,27
1273880,143866,30743,bicycle,Otto Enoteca Pizzeria,Italian,Hazelnut Stracciatella,4,Gelati & Sorbetti,03:06.5,40.73206376,-73.99615467,40.71745969,-74.00554648,10/1/14 3:49 PM,10/1/14 4:05 PM,10/1/14 4:19 PM,10/1/14 4:34 PM,0.030610382,0.017363327,0:26,14
1273957,41130,129135,bicycle,Katz's Delicatessen,,Reuben,1,Hot Sandwiches,,40.72230707,-73.98735166,40.7202265,-74.0021109,10/1/14 4:05 PM,10/1/14 4:12 PM,10/1/14 4:31 PM,10/1/14 4:41 PM,0.024736285,0.014905168,0:25,10
1273969,214650,95942,car,Postmates Liquor Store,Shop,Jameson Blended Irish Whiskey (750ml),1,Whiskey,,40.779598,-73.947388,40.7230174,-73.9998253,10/1/14 4:07 PM,10/1/14 4:13 PM,10/1/14 4:22 PM,10/1/14 4:49 PM,0.029599838,0.07714295,0:15,27
1273974,352549,141203,bicycle,Levain Bakery,Bakery,Dark Chocolate Chocolate Chip,4,Cookies,,40.77993009,-73.980335,40.760081,-73.978139,10/1/14 4:07 PM,10/1/14 4:06 PM,10/1/14 4:17 PM,10/1/14 4:34 PM,0.018788067,0.019970201,0:9,17
1273986,109299,99827,bicycle,Co.,Pizza,Corn,1,Pies,11:49.9,40.74716991,-74.00063565,40.7443781,-73.990925,10/1/14 4:13 PM,10/1/14 4:22 PM,10/1/14 4:38 PM,10/1/14 4:45 PM,0.02255625,0.010104007,0:13,7
1274012,307155,89004,bicycle,Momofuku Noodle Bar,,Ginger Scallion Noodles,1,Bowls,,40.7291104,-73.98424546,40.7167271,-73.9897207,10/1/14 4:18 PM,10/1/14 4:23 PM,10/1/14 4:45 PM,10/1/14 4:49 PM,0.022021412,0.013539738,0:27,4
1274112,198309,124216,bicycle,Blue Ribbon Sushi,Japanese,Edamame,1,Appetizers,02:58.7,40.72610966,-74.00249186,40.7499533,-74.0048461,10/1/14 4:41 PM,10/1/14 4:53 PM,10/1/14 5:12 PM,10/1/14 5:27 PM,0.031755961,0.023959586,0:27,15
1274129,314516,95942,car,Rai Rai Ken,,,,,03:23.1,40.72937382,-73.98576057,40.69712909,-73.99466612,10/1/14 4:47 PM,10/1/14 4:59 PM,10/1/14 5:05 PM,10/1/14 5:47 PM,0.042146366,0.033451922,0:15,41
1274130,270212,146428,van,Beard Papa's,,,,,,40.781947,-73.9808378,40.74835505,-73.94280966,10/1/14 4:49 PM,10/1/14 4:49 PM,10/1/14 5:06 PM,10/1/14 6:00 PM,0.049434514,0.050740109,0:17,53
1274131,41130,99219,bicycle,Spring Street Wine Shop,,,,,,40.7250335,-74.00291387,40.7241687,-73.9983411,10/1/14 4:49 PM,10/1/14 5:11 PM,10/1/14 5:29 PM,10/1/14 5:34 PM,0.031181227,0.004653825,0:40,4
1274159,76150,132725,bicycle,Citarella,,,,,,40.77191392,-73.95900894,40.75525101,-73.96452966,10/1/14 4:58 PM,10/1/14 5:03 PM,10/1/14 5:32 PM,10/1/14 5:42 PM,0.030484745,0.017553657,0:34,9
1274209,353595,139760,car,Xi'an Famous Foods,Chinese,"Mount Qi Pork Hand-Ripped Noodles (Spicy, Sour)",1,Hand-Pulled Noodles,,40.71560383,-73.99823689,40.70538382,-74.01029682,10/1/14 5:13 PM,10/1/14 5:18 PM,10/1/14 5:30 PM,10/1/14 5:40 PM,0.01860375,0.015807921,0:17,9
1274245,345429,23359,bicycle,The Mercer Kitchen,,,,,05:34.2,40.72474364,-73.99866156,40.7245717,-74.0000242,10/1/14 5:24 PM,,,10/1/14 5:57 PM,0.022815231,0.00137345,#NUM!,#N/A
1274248,208020,60149,car,Murray's Falafel,Middle Eastern,Blue Lamoon Citrus blossom lemonade w/ Splenda,1,Beverages,07:08.8,40.73216623,-73.98190388,40.7470189,-73.99092197,10/1/14 5:25 PM,10/1/14 5:40 PM,10/1/14 5:53 PM,10/1/14 6:09 PM,0.030426007,0.017376066,0:20,15
1274248,208020,60149,car,Murray's Falafel,Middle Eastern,Moroccan Cigars (5 pc),1,Appetizers,07:08.8,40.73216623,-73.98190388,40.7470189,-73.99092197,10/1/14 5:25 PM,10/1/14 5:40 PM,10/1/14 5:53 PM,10/1/14 6:09 PM,0.030426007,0.017376066,0:20,15
1274248,208020,60149,car,Murray's Falafel,Middle Eastern,Watermelon,1,Desserts,07:08.8,40.73216623,-73.98190388,40.7470189,-73.99092197,10/1/14 5:25 PM,10/1/14 5:40 PM,10/1/14 5:53 PM,10/1/14 6:09 PM,0.030426007,0.017376066,0:20,15
1274263,322162,119813,bicycle,Mighty Quinn's BBQ,BBQ,Spare Ribs,2,Meats,,40.72751895,-73.9886713,40.7638848,-73.9707834,10/1/14 5:29 PM,10/1/14 5:36 PM,10/1/14 6:01 PM,10/1/14 6:22 PM,0.036538241,0.040527182,0:31,20
1274310,89844,31859,bicycle,Five Guys Burgers and Fries,Burger,Bacon Cheeseburger,1,Burgers,,40.80440427,-73.96643044,40.792338,-73.974024,10/1/14 5:42 PM,10/1/14 5:46 PM,10/1/14 6:01 PM,10/1/14 6:10 PM,0.019608079,0.014256829,0:18,9
1274313,101901,31859,bicycle,Whole Foods Market,Grocery Store,Cookie Dough Chocoholic Chunk Vegan,2,Baking Dough & Mixes,,40.76806171,-73.98184776,40.7771983,-73.9867939,10/1/14 5:44 PM,10/1/14 6:36 PM,10/1/14 6:59 PM,10/1/14 7:09 PM,0.058888611,0.010389493,1:14,10
1274321,92726,100390,bicycle,Hatsuhana,Sushi,Cucumber,1,Rolls / Handrolls,04:14.4,40.75695307,-73.97723214,40.777341,-73.943522,10/1/14 5:45 PM,10/1/14 6:01 PM,10/1/14 6:20 PM,10/1/14 6:41 PM,0.039068924,0.039395953,0:31,21
