,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Bronx,Female,"Black, non-Hispanic",18-19 yr,"6,561"
Bronx,Female,"Black, non-Hispanic",20-24 yr,"15,986"
Bronx,Female,"Black, non-Hispanic",25-29 yr,"16,326"
Bronx,Female,"Black, non-Hispanic",30-34 yr,"15,957"
Bronx,Female,"Black, non-Hispanic",35-39 yr,"15,234"
Bronx,Female,"Black, non-Hispanic",40-44 yr,"16,953"
Bronx,Female,"Black, non-Hispanic",45-49 yr,"17,789"
Bronx,Female,"Black, non-Hispanic",50-54 yr,"16,192"
Bronx,Female,"Black, non-Hispanic",55-59 yr,"12,950"
Bronx,Female,"Black, non-Hispanic",60-64 yr,"11,136"
Bronx,Female,"Black, non-Hispanic",65-69 yr,"8,853"
Bronx,Female,"Black, non-Hispanic",70-74 yr,"6,469"
Bronx,Female,"Black, non-Hispanic",75-79 yr,"4,817"
Bronx,Female,"Black, non-Hispanic",80-84 yr,"3,655"
Bronx,Female,"Black, non-Hispanic",85+ yr,"3,925"
Bronx,Female,Hispanic,Less than 1,"6,256"
Bronx,Female,Hispanic,1-4 yr,"24,331"
Bronx,Female,Hispanic,5-9 yr,"28,895"
Bronx,Female,Hispanic,10-11 yr,"11,586"
Bronx,Female,Hispanic,12-14 yr,"17,488"
Bronx,Female,Hispanic,15-17 yr,"19,920"
Bronx,Female,Hispanic,18-19 yr,"13,521"
Bronx,Female,Hispanic,20-24 yr,"32,472"
Bronx,Female,Hispanic,25-29 yr,"31,666"
Bronx,Female,Hispanic,30-34 yr,"29,369"
Bronx,Female,Hispanic,35-39 yr,"27,195"
Bronx,Female,Hispanic,40-44 yr,"27,708"
Bronx,Female,Hispanic,45-49 yr,"27,609"
Bronx,Female,Hispanic,50-54 yr,"23,609"
Bronx,Female,Hispanic,55-59 yr,"19,435"
Bronx,Female,Hispanic,60-64 yr,"15,896"
Bronx,Female,Hispanic,65-69 yr,"11,676"
Bronx,Female,Hispanic,70-74 yr,"9,141"
Bronx,Female,Hispanic,75-79 yr,"6,809"
Bronx,Female,Hispanic,80-84 yr,"4,514"
Bronx,Female,Hispanic,85+ yr,"3,882"
